,Uniprot IDs,Gene,Enriched
549,Q9Y6D6,['ARFGEF1'],[False]
550,O75496,['GMNN'],[False]
551,Q8NG31,['KNL1'],[False]
552,Q13029,['PRDM2'],[False]
553,P02760,['AMBP'],[False]
554,P52945,['PDX1'],[False]
555,Q71UI9,['H2AZ2'],[False]
556,Q9UJX3,['ANAPC7'],[False]
557,P49768,['PSEN1'],[False]
558,Q9UJX5,['ANAPC4'],[False]
559,P53420,['COL4A4'],[False]
560,P83916,['CBX1'],[False]
561,P60006,['ANAPC15'],[False]
562,Q13042,['CDC16'],[False]
563,Q96DE5,['ANAPC16'],[False]
564,O94986,['CEP152'],[False]
565,Q15637,['SF1'],[False]
566,Q9Y613,['FHOD1'],[False]
567,Q96PY5,['FMNL2'],[False]
568,P30542,['ADORA1'],[False]
569,O43747,['AP1G1'],[False]
570,Q99250,['SCN2A'],[False]
571,O60825,['PFKFB2'],[False]
572,Q6NUK1,['SLC25A24'],[False]
573,P52799,['EFNB2'],[False]
574,P83110,['HTRA3'],[False]
575,P50616,['TOB1'],[False]
576,Q9UMD9,['COL17A1'],[False]
577,O60493,['SNX3'],[False]
578,P00740,['F9'],[False]
579,Q96RF0,['SNX18'],[False]
580,P54274,['TERF1'],[False]
581,Q96NI6,['LRFN5'],[False]
582,P35520,['CBS'],[False]
583,Q9UBT3,['DKK4'],[False]
584,Q13542,['EIF4EBP2'],[False]
585,P49189,['ALDH9A1'],[False]
586,Q13162,['PRDX4'],[False]
587,Q9Y4D1,['DAAM1'],[False]
588,Q8IYW5,['RNF168'],[False]
589,P09919,['CSF3'],[False]
590,P54368,['OAZ1'],[False]
591,Q96RK4,['BBS4'],[False]
592,P51946,['CCNH'],[False]
593,Q9BS26,['ERP44'],[False]
594,O14775,['GNB5'],[False]
595,Q96T58,['SPEN'],[False]
596,O14974,['PPP1R12A'],[False]
597,P47895,['ALDH1A3'],[False]
598,Q9UPP1,['PHF8'],[False]
599,Q9H8Y8,['GORASP2'],[False]
600,A8K2U0,['A2ML1'],[False]
601,Q96GC6,['ZNF274'],[False]
602,P30038,['ALDH4A1'],[False]
603,Q15858,['SCN9A'],[False]
604,P01042,['KNG1'],[False]
605,Q07866,['KLC1'],[False]
606,Q96F81,['DISP1'],[False]
607,P17677,['GAP43'],[False]
608,Q8N488,['RYBP'],[False]
609,Q969F2,['NKD2'],[False]
610,P02730,['SLC4A1'],[False]
611,P43629,['KIR3DL1'],[False]
612,Q9Y5S1,['TRPV2'],[False]
613,P51787,['KCNQ1'],[False]
614,P15927,['RPA2'],[False]
615,Q8NHZ8,['CDC26'],[False]
616,P30518,['AVPR2'],[False]
617,P14867,['GABRA1'],[False]
618,P52597,['HNRNPF'],[False]
619,P54687,['BCAT1'],[False]
620,Q14766,['LTBP1'],[False]
621,Q13698,['CACNA1S'],[False]
622,Q9UN86,['G3BP2'],[False]
623,P27694,['RPA1'],[False]
624,O15234,['CASC3'],[False]
625,Q10567,['AP1B1'],[False]
626,Q99714,['HSD17B10'],[False]
627,O60741,['HCN1'],[False]
628,O96018,['APBA3'],[False]
629,Q8NET8,['TRPV3'],[False]
630,P13674,['P4HA1'],[False]
631,P09012,['SNRPA'],[False]
632,Q7KZF4,['SND1'],[False]
633,O00189,['AP4M1'],[False]
634,Q9BPU6,['DPYSL5'],[False]
635,Q9UJY5,['GGA1'],[False]
636,P56696,['KCNQ4'],[False]
637,Q6DD88,['ATL3'],[False]
638,P26368,['U2AF2'],[False]
639,Q9Y3B4,['SF3B6'],[False]
640,P20963,['CD247'],[False]
641,P12272,['ARAP2'],[False]
642,O15247,['CLIC2'],[False]
643,O43172,['PRPF4'],[False]
644,P16860,['NPPB'],[False]
645,P49005,['POLD2'],[False]
646,P10997,['IAPP'],[False]
647,P24588,['ZNG1E'],[False]
648,Q92886,['NEUROG1'],[False]
649,O95630,['STAMBP'],[False]
650,P80303,['NUCB2'],[False]
651,P55789,['GFER'],[False]
652,O94925,['GLS'],[False]
653,Q16629,['SRSF7'],[False]
654,O95292,['VAPB'],[False]
655,P21675,['TAF1'],[False]
656,Q9NQA5,['TRPV5'],[False]
657,Q6P3W2,['DNAJC24'],[False]
658,Q02413,['DSG1'],[False]
659,Q15185,['PTGES3'],[False]
660,P35219,['CA8'],[False]
661,Q96EQ8,['RNF125'],[False]
662,Q92783,['STAM'],[False]
663,P01160,['NPPA'],[False]
664,Q8N807,['PDILT'],[False]
665,O00204,['SULT2B1'],[False]
666,P55011,['SLC12A2'],[False]
667,P05452,['CLEC3B'],[False]
668,Q9NW15,['ANO10'],[False]
669,Q07108,['CD69'],[False]
670,Q9NYB9,['ABI2'],[False]
671,Q6ZMT4,['KDM7A'],[False]
672,P62328,['TMSB4X'],[False]
673,P35790,['CHKA'],[False]
674,P0DN86,['CGB3'],[False]
675,A5YKK6,['CNOT1'],[False]
676,P50579,['METAP2'],[False]
677,P24071,['FCAR'],[False]
678,P15382,['KCNE1'],[False]
679,P30273,['FCER1G'],[False]
680,Q13415,['ORC1'],[False]
681,Q92608,['DOCK2'],[False]
682,Q9NR00,['TCIM'],[False]
683,Q86TV6,['TTC7B'],[False]
684,Q8WZ42,['TTN'],[False]
685,Q9UNL4,['ING4'],[False]
686,Q9UIW2,['PLXNA1'],[False]
687,P00734,['F2'],[False]
688,P13861,['PRKAR2A'],[False]
689,Q969R2,['OSBP2'],[False]
690,P81274,['GPSM2'],[False]
691,P42768,['WAS'],[False]
692,P28325,['DCLRE1C'],[False]
693,P54725,['RAD23A'],[False]
694,Q14444,['CAPRIN1'],[False]
695,Q14565,['DMC1'],[False]
696,Q14722,['KCNAB1'],[False]
697,Q8IV16,['GPIHBP1'],[False]
698,P31321,['PRKAR1B'],[False]
699,P01266,['TG'],[False]
700,P30793,['GCH1'],[False]
701,Q01484,['ANK2'],[False]
702,Q8TEP8,['CEP192'],[False]
703,P05451,['REG1A'],[False]
704,P23280,['CA6'],[False]
705,P09693,['CD3G'],[False]
706,P19957,['PI3'],[False]
707,P11274,['BCR'],[False]
708,P23677,['ITPKA'],[False]
709,O14936,['CASK'],[False]
710,Q96RD7,['PANX1'],[False]
711,P31153,['MAT2A'],[False]
712,O60486,['PLXNC1'],[False]
713,O95843,['GUCA1C'],[False]
714,Q8NC51,['SERBP1'],[False]
715,P35680,['HNF1B'],[False]
716,P78560,['CRADD'],[False]
717,Q9H1D0,['TRPV6'],[False]
718,A6NI73,['LILRA5'],[False]
719,Q53GG5,['PDLIM3'],[False]
720,P11926,['ODC1'],[False]
721,Q9UBP0,['SPAST'],[False]
722,P01215,['CGA'],[False]
723,Q13426,['XRCC4'],[False]
724,Q9UDY8,['MALT1'],[False]
725,P17405,['SMPD1'],[False]
726,P07766,['CD3E'],[False]
727,P04035,['HMGCR'],[False]
728,P13797,['PLS3'],[False]
729,Q13573,['SNW1'],[False]
730,Q15326,['ZMYND11'],[False]
731,P29536,['IRS4'],[False]
732,P40939,['HADHA'],[False]
733,O75970,['MPDZ'],[False]
734,Q9HCB6,['SPON1'],[False]
735,Q9BTT0,['ANP32E'],[False]
736,P35611,['ADD1'],[False]
737,P00439,['PAH'],[False]
738,P0DMM9,['SULT1A3'],[False]
739,P04183,['TK1'],[False]
740,P06132,['UROD'],[False]
741,Q9Y6X9,['MORC2'],[False]
742,P11686,['SFTPC'],[False]
743,Q8IWJ2,['GCC2'],[False]
744,P35637,['FUS'],[False]
745,O43313,['ATMIN'],[False]
746,Q9Y3M2,['CBY1'],[False]
747,O14977,['AZIN1'],[False]
