,GO terms,Common Intersections
363,HP:5200241,"['MAPT', 'CDKN2A', 'EIF4G1']"
364,GO:0043168,"['ABL1', 'OGT', 'EIF4G1']"
365,GO:0032446,"['ABL1', 'CDKN2A', 'OGT']"
366,GO:0034654,"['ABL1', 'OGT', 'CDKN2A']"
367,GO:0032102,[]
368,GO:0031346,"['ABL1', 'MAPT']"
369,GO:0001944,"['RTN4', 'ABL1']"
370,WP:WP5098,['CDKN2A']
371,GO:0010628,"['EIF4G1', 'ABL1', 'CDKN2A', 'RTN4', 'OGT']"
372,GO:1903322,['CDKN2A']
373,GO:0030163,"['CDKN2A', 'OGT']"
374,GO:0070201,"['MAPT', 'CDKN2A']"
375,GO:0006796,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'OGT']"
376,GO:0010638,"['ABL1', 'MAPT']"
377,GO:0042063,"['RTN4', 'ABL1', 'MAPT']"
378,GO:0042803,['RTN4']
379,GO:1902105,"['ABL1', 'CDKN2A']"
380,GO:0008283,"['RTN4', 'ABL1', 'CDKN2A']"
381,HP:0012639,"['MAPT', 'OGT', 'CDKN2A', 'EIF4G1']"
382,GO:0006810,"['ABL1', 'MAPT', 'CDKN2A']"
383,HPA:0030071,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
384,GO:0008104,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
385,GO:0022898,[]
386,GO:1901564,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
387,GO:0045765,"['RTN4', 'ABL1']"
388,GO:0036211,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'OGT']"
389,HPA:0291161,"['ABL1', 'CDKN2A', 'EIF4G1']"
390,HPA:0500000,"['RTN4', 'MAPT', 'EIF4G1']"
391,GO:0032535,"['RTN4', 'ABL1', 'MAPT']"
392,GO:0050896,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
393,GO:0007399,"['EIF4G1', 'ABL1', 'TUG1', 'MAPT', 'RTN4', 'OGT']"
394,GO:0051924,['ABL1']
395,REAC:R-HSA-109606,['CDKN2A']
396,GO:1904062,['ABL1']
397,GO:0051248,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
398,GO:0104004,[]
399,KEGG:05163,['CDKN2A']
400,HP:0002011,"['MAPT', 'OGT', 'CDKN2A', 'EIF4G1']"
401,GO:0051234,"['ABL1', 'MAPT', 'CDKN2A']"
402,HPA:0630221,"['ABL1', 'OGT', 'EIF4G1']"
403,GO:0051050,['ABL1']
404,GO:0043228,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'OGT']"
405,GO:0065010,[]
406,GO:0033135,['EIF4G1']
407,GO:0007254,[]
408,GO:0048871,"['ABL1', 'OGT', 'EIF4G1']"
409,WP:WP710,"['ABL1', 'CDKN2A']"
410,HPA:0170052,"['ABL1', 'CDKN2A', 'EIF4G1']"
411,GO:0042177,['OGT']
412,GO:0034762,['ABL1']
413,GO:0000151,[]
414,GO:0043549,"['ABL1', 'CDKN2A', 'MAPT']"
415,GO:0140678,['CDKN2A']
416,GO:0048518,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
417,GO:0050821,"['RTN4', 'CDKN2A']"
418,GO:0051099,"['ABL1', 'EIF4G1']"
419,GO:0018205,['CDKN2A']
420,GO:0040012,"['RTN4', 'ABL1', 'OGT']"
421,GO:0030334,"['RTN4', 'ABL1', 'OGT']"
422,GO:0051726,"['ABL1', 'CDKN2A', 'EIF4G1']"
423,HPA:0220000,"['EIF4G1', 'ABL1', 'CDKN2A', 'OGT', 'DAPL1']"
424,GO:0009896,[]
425,GO:0032559,"['ABL1', 'EIF4G1']"
426,GO:0012506,[]
427,GO:0002757,"['RTN4', 'ABL1']"
428,GO:0010632,"['RTN4', 'ABL1']"
429,GO:0043254,"['ABL1', 'EIF4G1', 'MAPT']"
430,GO:1901265,"['ABL1', 'EIF4G1']"
431,GO:0002020,[]
432,GO:2000058,"['CDKN2A', 'OGT']"
433,GO:0012501,"['ABL1', 'CDKN2A', 'RTN4', 'OGT', 'DAPL1']"
434,GO:0070887,"['ABL1', 'RTN4', 'MAPT', 'OGT']"
435,HPA:0170051,"['EIF4G1', 'ABL1', 'CDKN2A', 'OGT', 'DAPL1']"
436,HPA:0250121,"['RTN4', 'ABL1', 'CDKN2A']"
437,GO:0009719,"['ABL1', 'MAPT', 'OGT']"
438,GO:0023057,"['ABL1', 'MAPT', 'OGT']"
439,GO:2001141,"['ABL1', 'OGT', 'CDKN2A']"
440,KEGG:04659,[]
441,GO:0006997,"['RTN4', 'CDKN2A']"
442,GO:0001933,"['ABL1', 'CDKN2A', 'EIF4G1']"
443,REAC:R-HSA-168256,"['ABL1', 'EIF4G1']"
444,HPA:0190221,"['EIF4G1', 'ABL1', 'CDKN2A', 'OGT', 'DAPL1']"
445,GO:0198738,['ABL1']
446,GO:0045766,"['RTN4', 'ABL1']"
447,GO:0051093,"['RTN4', 'MAPT', 'OGT', 'CDKN2A']"
448,HPA:0600441,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
449,GO:1900180,['CDKN2A']
450,GO:2000147,"['RTN4', 'ABL1']"
451,GO:0046903,[]
452,WP:WP3932,[]
453,GO:0045088,['RTN4']
454,GO:0050793,"['EIF4G1', 'ABL1', 'CDKN2A', 'TUG1', 'MAPT', 'RTN4', 'OGT']"
455,GO:0070062,[]
456,REAC:R-HSA-3700989,['CDKN2A']
457,GO:0098657,['ABL1']
458,GO:2001235,[]
459,GO:0044770,"['CDKN2A', 'EIF4G1']"
460,GO:0080090,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
461,GO:0030183,['ABL1']
462,GO:0043067,"['RTN4', 'ABL1', 'OGT', 'CDKN2A']"
