Interactor A,Interactor B,Confidence Value
Q6R327,P23258,0.72
Q7L2J0,Q9UNF1,0.72
O95071,Q86U44,0.72
Q99598,Q2TAY7,0.72
Q9Y5S9,Q5VT25,0.72
Q7L2J0,P23919,0.72
Q99598,Q9BZD4,0.72
O95835,O75449,0.72
Q05397,Q14185,0.72
P46379,Q9UHL9,0.72
P46379,Q2YD98,0.72
P08670,Q99759,0.72
Q13838,Q09028,0.72
P08670,P31751,0.72
Q7L2J0,Q15139,0.72
P08670,Q13618,0.72
Q96GX5,Q6P2H3,0.72
Q8N5H7,P52565,0.72
Q8N5H7,Q9NSD9,0.72
Q8N5H7,Q92771,0.72
Q8N5H7,Q9UEW8,0.72
Q8N5H7,Q9H4A4,0.72
Q13617,Q93034,0.72
Q13164,P16615,0.72
O00308,P78563,0.72
Q658P3,P43119,0.72
P40692,P48454,0.72
Q13617,Q99873,0.72
Q13617,P02538,0.72
Q9H5I1,O94885,0.72
Q92499,P06748,0.72
Q8N3V7,P35579,0.72
P40692,Q14247,0.72
Q13617,P80303,0.72
Q13617,P12955,0.72
P35269,Q9UBQ0,0.72
Q8TEQ6,Q13439,0.72
P35269,Q8WVK2,0.72
Q13617,Q02878,0.72
O60934,P78527,0.71
P00519,Q99952,0.71
P00519,P68133,0.71
Q13526,P05067,0.71
O43521,P31749,0.71
Q9UPY3,P55265,0.71
Q9BYF1,O60341,0.71
Q14258,Q9BYM8,0.71
P23771,P10276,0.71
P35269,P19388,0.71
P29590,P51784,0.7
O60934,Q93009,0.7
Q9Y2Z0,P11142,0.7
Q9BSQ5,P78362,0.7
P54578,Q9BRP4,0.7
P20340,P62820,0.7
O14965,O96028,0.7
P13797,P00441,0.7
P54578,P13797,0.7
P40818,Q13501,0.7
Q02363,Q13516,0.7
P29590,P06493,0.7
P54578,P47755,0.7
P36871,P04181,0.7
P08670,P17302,0.7
Q5JRX3,P08559,0.7
P00519,O14672,0.7
Q9Y6I3,P09496,0.7
Q13162,P00441,0.7
Q5JRX3,P09622,0.7
P00519,Q92547,0.7
Q9BYF1,Q9UBU3,0.7
Q13363,P11940,0.7
P29590,Q00534,0.7
Q9H3M7,Q9Y4K3,0.7
Q7KZI7,P16070,0.7
Q13526,P40424,0.7
O75962,Q8NEY1,0.7
O14965,O94889,0.7
O15344,Q9P0W2,0.7
Q13363,O43623,0.7
Q13617,Q13200,0.7
P54132,P11388,0.7
Q15059,Q9H0A0,0.7
O14965,P78362,0.7
Q9H3M7,Q9NX09,0.7
P29590,P00533,0.7
P26368,P61289,0.7
Q9UPY3,P61247,0.7
O00308,Q9H074,0.7
P29590,Q9Y6D9,0.7
P36871,P31939,0.7
P61587,Q13309,0.7
Q14849,Q8NHP6,0.7
Q14118,Q92629,0.7
P62330,Q9UGP8,0.7
P55211,P55210,0.7
P31153,P09622,0.7
P00519,P78362,0.7
Q14258,P11308,0.7
Q9NQC7,P27361,0.7
O14965,O75604,0.7
P22234,P31939,0.7
Q14118,P11230,0.7
Q9Y6I3,Q99717,0.7
O95071,Q96G74,0.7
O14965,P62136,0.7
O60934,P24864,0.7
P41227,P00558,0.7
O14965,Q06710,0.7
P20340,Q9H0U4,0.7
P20340,Q15907,0.7
Q96EP1,Q13547,0.7
O00308,Q9UM47,0.7
P20340,P51148,0.7
P26368,P08238,0.7
Q9NQC7,P04637,0.7
Q9BRX5,O75717,0.7
P08670,O43464,0.7
Q96EP1,Q96EB6,0.7
P08581,P23467,0.7
O95071,P62837,0.7
P00519,Q9H2X6,0.7
P01127,P04085,0.7
Q15059,P62136,0.7
Q9Y2Z0,Q9ULM6,0.7
Q9BV68,P42345,0.7
P18615,Q96SB4,0.7
Q02363,Q8TAK6,0.7
P11166,P20290,0.7
Q16667,O75116,0.7
P17947,Q02556,0.7
P40692,P62714,0.7
Q9NQC7,P20749,0.7
P49327,P29353,0.7
P30793,P31323,0.7
P49327,Q06124,0.7
Q13162,P34932,0.7
Q9UBU7,Q13415,0.7
P40818,Q14596,0.7
P40818,Q16620,0.7
Q05397,Q15717,0.7
O14965,P62140,0.7
P30793,Q9HCP0,0.7
P18615,P78362,0.7
P29590,P24941,0.7
Q15059,P63208,0.7
Q14565,Q9Y620,0.7
O75962,Q9NP77,0.7
O95071,Q96BY2,0.7
O95835,Q16584,0.7
P26368,Q00610,0.7
P26368,Q9UL46,0.7
P13797,P60709,0.7
Q9NQC7,Q96A37,0.7
P00519,O15056,0.7
P30793,P13861,0.7
Q9UBU7,O43913,0.7
P20340,P51149,0.7
P20340,P61006,0.7
P22234,O15067,0.7
P30542,P09471,0.7
P36871,O95336,0.7
P54687,P31939,0.7
Q9Y5S9,P40763,0.7
P26368,Q06323,0.7
Q8TEQ6,P06730,0.7
Q13617,P63208,0.7
Q16630,P68400,0.7
O14965,Q96SB4,0.7
P29590,Q99856,0.69
P42574,P10636,0.69
P30542,P00813,0.69
P01023,P01584,0.69
P42574,Q13177,0.69
P00519,P46937,0.69
P20807,Q14315,0.69
P42574,Q06609,0.69
P42574,P06396,0.69
P42574,Q13077,0.69
P42574,O00273,0.69
P00519,P50607,0.69
P54132,O76064,0.69
P17947,Q15156,0.69
P42574,P10144,0.69
P42574,Q13043,0.69
P42574,P08670,0.69
P55211,P28482,0.69
P42574,P05067,0.69
Q12888,Q06609,0.68
Q13526,Q15029,0.68
Q02363,P24941,0.68
Q92499,Q13315,0.68
P30793,Q7L5Y9,0.68
P49327,P14598,0.68
Q14258,Q9H944,0.68
Q9HD36,Q14457,0.68
Q13526,Q9UN86,0.68
P29590,Q8WXH0,0.68
P17947,P78527,0.68
P29590,P15976,0.68
O95835,Q92793,0.68
Q96EP1,Q92769,0.68
P00519,P14618,0.68
P30793,Q9Y5X1,0.68
P01127,P08123,0.68
Q02363,P40337,0.68
Q13526,Q14444,0.68
Q8TEQ6,Q15077,0.68
P54578,Q96F44,0.68
Q6R327,O14920,0.68
Q13363,P55210,0.68
P55789,P25490,0.68
Q13526,P40939,0.68
P54578,P14598,0.68
P42574,P80303,0.68
P04004,Q8IXL6,0.68
Q13526,O00141,0.68
Q12888,Q9H7Z6,0.68
Q9UPY3,Q15077,0.68
Q9NQC7,Q96GD4,0.68
Q13526,Q9Y2W1,0.68
P17947,Q96ST3,0.68
P26368,P54274,0.68
Q16821,Q8IXL6,0.68
Q14444,Q9Y4C4,0.68
P08581,Q05209,0.68
P00519,P25963,0.68
P40818,Q99814,0.68
Q9NQC7,Q15257,0.68
Q9NPI8,Q8NB91,0.68
P30793,Q96S59,0.68
P35269,O95619,0.68
P13797,O14732,0.68
O43521,Q92597,0.68
Q13526,O95782,0.68
Q13526,Q9NYV4,0.68
Q02363,Q15466,0.68
Q10589,Q92643,0.68
Q14444,P29074,0.68
O95071,Q8IYW5,0.68
O95071,O00220,0.68
Q6R327,O15111,0.68
Q6ZNA4,P55854,0.68
Q05397,P14618,0.68
P08581,P14618,0.68
Q9BYF1,P01213,0.68
P62330,Q9H0H5,0.68
P35269,P53355,0.68
Q12888,Q9Y6Q9,0.68
O15344,Q9NPQ8,0.68
O43521,P45983,0.68
O00299,Q9Y251,0.68
P08670,P63167,0.68
P08581,P07585,0.68
Q13617,Q92830,0.68
P30793,Q13501,0.68
P62330,Q15027,0.68
Q92499,Q9UBI1,0.68
Q9UPY3,Q9NQB0,0.68
Q13526,Q9UQ88,0.68
P29590,Q92993,0.68
Q9Y2Z0,P53350,0.68
P05231,Q8IXL6,0.68
P40818,Q16665,0.68
O95071,P04233,0.68
Q16667,Q86YZ3,0.68
P08581,P23470,0.68
P30793,Q9NPA3,0.68
P01127,P02458,0.68
P46379,Q13263,0.68
P29590,Q96RU7,0.68
Q13526,Q96D71,0.68
Q13526,Q96JM3,0.68
Q14118,P11137,0.68
Q10589,Q969N2,0.68
Q07157,Q15149,0.68
Q12888,Q14686,0.68
Q13363,Q96T58,0.68
Q9BYF1,Q9ULZ1,0.68
P49327,P27348,0.68
P29590,P43356,0.68
Q13526,Q00839,0.68
Q12888,Q99986,0.68
P42574,P60953,0.68
O95071,O43670,0.68
Q96FQ6,P83105,0.68
Q8N884,P53004,0.68
P30793,Q15370,0.68
Q13526,Q13188,0.68
Q13526,O60343,0.68
Q13526,Q05519,0.68
P17947,P12755,0.68
Q16821,P36873,0.68
Q16667,P54829,0.68
Q16630,O14776,0.68
P08581,Q15262,0.68
Q13363,Q01826,0.68
P00519,Q9Y6Q9,0.68
Q13363,Q9ULK4,0.68
P01023,Q9NPJ6,0.68
Q9Y6I3,P37088,0.68
P11926,Q92681,0.68
P30793,Q8IUR7,0.68
P01127,P02462,0.68
Q96AE4,Q9HAU4,0.68
P11274,P11142,0.68
Q13526,Q16531,0.68
Q8TEQ6,Q15646,0.68
Q13526,Q9H6E5,0.68
Q13526,P37231,0.68
Q9Y2Z0,P68104,0.68
Q8N3V7,P16333,0.68
Q10589,O60762,0.68
P42166,Q8TDX7,0.68
P29317,P04083,0.68
P42574,P31749,0.68
Q96EP1,Q14449,0.68
Q13363,Q03164,0.68
Q13164,Q16236,0.68
O60934,P61956,0.68
Q9Y2Z0,P53041,0.68
Q14995,Q92993,0.68
P01127,P27986,0.68
P46379,Q9H944,0.68
Q05193,Q8IVI9,0.68
P11274,Q99704,0.68
Q8TEQ6,Q99683,0.68
Q13526,P61978,0.68
Q14444,O75554,0.68
P54578,P15336,0.68
O95071,Q8IY21,0.68
P53420,Q92876,0.68
Q8N884,Q92598,0.68
P00519,Q71SY5,0.68
Q9BYF1,Q14416,0.68
Q8N3V7,O95183,0.68
P35269,Q9H944,0.68
Q05397,Q13309,0.68
Q02363,Q15369,0.68
P04275,P07237,0.68
Q13526,Q13283,0.68
P17947,P41182,0.68
P42574,Q13188,0.68
Q16667,P50747,0.68
O60880,P60953,0.68
O60934,O75943,0.68
Q9Y6I3,P51168,0.68
P00519,P53355,0.68
P01127,P12109,0.68
P49327,P63104,0.68
Q14258,P14316,0.68
Q8TEQ6,P45983,0.68
Q13526,O00571,0.68
Q13162,P14598,0.68
Q13526,Q13158,0.68
Q8N3V7,O43639,0.68
P22234,P14598,0.68
Q07157,P04350,0.68
Q7KZI7,Q15139,0.68
Q92574,Q9NYY3,0.68
P42166,Q9BWW4,0.68
P00519,O75896,0.68
O60934,Q9NS91,0.68
Q9Y6I3,Q9Y586,0.68
Q13838,P83105,0.68
Q13526,Q6P2Q9,0.68
P54578,Q9UPN3,0.68
Q7KZI7,P14618,0.68
O15344,Q96R06,0.68
Q8N884,O95757,0.68
P35680,P25490,0.68
P54132,P46100,0.68
Q13526,Q15287,0.68
Q13526,Q15648,0.68
P29590,O43255,0.68
P42574,P10451,0.68
Q7KZI7,Q7L7X3,0.68
Q16630,P46934,0.68
Q9BPZ7,P45983,0.68
Q9Y2Z0,Q9H944,0.68
Q9Y6I3,P51170,0.68
P30793,Q6VN20,0.68
Q8TEQ6,P45985,0.68
Q13526,P17844,0.68
Q13162,Q9NQB0,0.68
Q13526,Q86WG3,0.68
Q10589,Q96GC9,0.68
P42574,Q13464,0.68
P08572,Q92876,0.68
P08581,P08575,0.68
Q13363,Q9H171,0.68
Q13526,Q92841,0.68
Q12888,O43257,0.68
Q16630,O75554,0.68
Q8N884,P34932,0.68
P54578,P25963,0.68
P00519,Q9Y4G6,0.68
Q13617,Q8NFD5,0.68
P30793,P23921,0.68
Q13526,P23246,0.68
Q13526,P11940,0.68
P29317,P14618,0.68
P42574,P42858,0.68
Q16630,O00213,0.68
P30793,O00469,0.68
Q13526,O43143,0.68
Q13526,P46527,0.68
Q14444,Q96KR7,0.68
O95071,O14829,0.68
Q9BV68,Q8IYW5,0.68
P00519,P42229,0.68
O60934,Q16665,0.68
P07355,P27348,0.68
Q14181,Q9Y4C4,0.68
P42574,P02771,0.68
P83916,P40337,0.68
P42574,P07949,0.68
P08670,P78324,0.68
P08581,P11279,0.68
Q07157,P36383,0.68
Q13526,Q9NYF8,0.68
Q13526,P21127,0.68
Q14444,Q9Y6K5,0.68
Q9Y5S9,Q9Y6K9,0.68
P42166,Q9NQB0,0.68
Q7KZI7,P83105,0.68
P08581,P42574,0.68
P54578,P36897,0.68
P41227,Q15052,0.68
Q00653,Q9Y275,0.68
Q13526,P36578,0.68
P26368,O00213,0.68
Q10589,Q9HC29,0.68
Q14444,P53355,0.68
Q12888,O14757,0.68
P83916,Q9P2P5,0.68
O95835,Q5S007,0.68
P00519,P05107,0.68
P55211,Q5T447,0.68
P42574,Q676U5,0.68
Q7KZI7,Q13480,0.68
Q7KZI7,P23468,0.68
P00519,P11387,0.68
Q8N3V7,Q14108,0.68
P30793,Q9H871,0.68
P35269,Q9NPJ6,0.68
P01127,P02461,0.68
P46379,Q9NPJ6,0.68
Q14565,O15457,0.68
Q05193,Q00535,0.68
Q13526,Q66K74,0.68
Q13526,Q04726,0.68
Q00653,Q14108,0.68
Q13526,Q69YN4,0.68
P04035,Q9H1C4,0.68
Q10589,Q14108,0.68
O14965,Q8TB72,0.68
Q6R327,Q13616,0.68
P08670,P14555,0.68
Q9Y2Z0,Q8IY21,0.68
P00519,Q99933,0.68
P23771,Q12857,0.68
Q12888,Q16254,0.68
P23771,P08047,0.68
Q13526,Q8IYB3,0.68
P29590,Q9H3D4,0.68
P11686,P46934,0.68
Q9Y2Z0,P34932,0.68
Q14444,Q9Y586,0.68
P42574,P12830,0.68
Q14849,P53355,0.68
P01023,Q9UKP4,0.68
P30793,Q9H7D7,0.68
Q13526,P41182,0.68
Q13617,Q01094,0.68
Q12888,P60484,0.68
P11274,Q38SD2,0.68
Q13526,Q9UQ35,0.68
Q13526,Q96S55,0.68
Q13526,P12956,0.68
P11166,P40337,0.68
P17947,Q969H0,0.68
O14965,P62753,0.68
Q12888,P62807,0.68
Q9BV68,Q01094,0.68
O00411,Q14108,0.68
Q00653,Q8N668,0.68
O60934,Q16695,0.68
P46379,Q9ULK4,0.68
P49327,Q92985,0.68
Q02363,P43694,0.68
Q13526,O75643,0.68
P26368,Q05519,0.68
P42166,P14316,0.68
Q8IVH8,Q04759,0.68
Q05397,O15524,0.68
Q16667,P16949,0.68
Q07157,P32745,0.68
P23771,P08651,0.68
Q92499,P27348,0.68
P00519,P11142,0.68
Q05397,P29323,0.68
O15344,P26367,0.68
Q13526,Q92734,0.68
Q8IVH8,Q99961,0.68
Q16667,Q66LE6,0.68
P08581,P26045,0.68
P00519,P35326,0.68
P01023,P58397,0.68
P23771,Q969H0,0.68
P30793,Q04637,0.68
P01127,P20908,0.68
O14965,Q9H334,0.68
Q13526,P26368,0.68
Q8TEQ6,Q9Y275,0.68
O95155,P42771,0.68
Q9BYF1,P05814,0.68
Q9BYF1,P02768,0.68
Q00653,Q86X83,0.68
Q92499,P63104,0.68
P00519,P18031,0.68
P54132,P35251,0.67
O60934,P35251,0.67
P08670,Q969R2,0.67
P26368,Q15696,0.67
Q9BYG3,Q9BYG3,0.67
P42574,P54132,0.67
P42574,Q86W56,0.67
P55211,Q92851,0.67
Q92574,P35241,0.67
Q13526,Q04206,0.67
P40692,Q92878,0.67
P40692,Q13315,0.67
O95071,P50750,0.67
Q07157,O00192,0.67
P08581,Q8N307,0.67
P40692,P35251,0.67
P08294,Q9UBX5,0.67
Q13563,P35609,0.67
P42574,Q12772,0.67
Q9H3M7,Q16881,0.67
Q13563,P09493,0.67
O95071,P68036,0.67
Q9NQC7,P42773,0.67
Q9UKY0,P08865,0.67
Q05397,Q12791,0.67
O60934,P15336,0.67
Q9Y6I3,Q05516,0.67
P13797,P55795,0.67
P06756,P60201,0.67
Q9BQ50,Q9BQ50,0.67
P48443,Q92793,0.67
Q7KZI7,Q13043,0.67
P35269,P38398,0.67
Q7KZI7,Q13188,0.67
O60934,P43246,0.67
P06756,P27797,0.67
O00308,P62837,0.67
P11166,P02730,0.67
P42574,Q07820,0.67
O00308,P61077,0.67
P40818,Q13972,0.67
P55211,Q9Y2G2,0.67
P11274,P15498,0.67
O60934,P52701,0.67
P29590,Q99607,0.67
P29317,O00459,0.67
P00519,Q92542,0.67
Q02363,P13349,0.67
P26368,P03372,0.67
P40692,P49959,0.67
O60934,P54274,0.67
P55211,P99999,0.66
P08670,P55212,0.66
P00519,Q06187,0.66
Q12888,O76064,0.66
P08670,P55210,0.66
P62330,Q9Y6K9,0.66
O14965,P24522,0.66
O00308,P51668,0.66
P17947,P10914,0.66
Q05397,P09619,0.66
Q13164,P05067,0.66
O95071,P61077,0.66
P40818,Q96CF2,0.66
P42574,P10275,0.66
Q14995,Q13547,0.66
O00308,P51965,0.66
P55211,P08670,0.66
P00519,O60674,0.66
O14965,P05067,0.66
P00519,P05067,0.66
Q9HD36,Q16611,0.65
Q14258,O43283,0.65
P04035,Q9Y3M8,0.65
Q6R327,O00141,0.65
P55211,Q07812,0.65
P42574,P35251,0.65
Q13363,P29692,0.65
O60934,Q03468,0.65
O43521,A6NNY8,0.65
Q07157,Q14247,0.65
P00519,Q13043,0.65
Q05193,P16591,0.65
P20340,Q92805,0.65
O14965,Q9UPY8,0.65
O95278,Q99570,0.65
Q9BV68,Q16595,0.65
P08670,P27694,0.65
P00519,Q05209,0.65
O95071,Q9Y253,0.65
O14965,Q53GL7,0.65
Q8NBZ7,P31749,0.65
P07355,P12931,0.65
P08670,P62993,0.65
Q9H5I1,Q99717,0.65
P26368,Q96DC9,0.65
Q14444,Q99873,0.65
O14965,Q86UE8,0.65
Q9GZU1,Q9GZU1,0.65
P42574,P35222,0.65
Q9BV68,P12956,0.65
O95071,P35226,0.65
P29590,P10415,0.65
Q14258,O00571,0.65
Q14444,Q14444,0.65
Q92574,P26038,0.65
P08670,O00429,0.65
P54578,Q08209,0.65
P29317,Q99816,0.65
P29590,O75925,0.65
O14965,Q9UKI8,0.65
P42574,P78527,0.65
O14965,O43791,0.65
P54578,Q9GZQ8,0.65
P18615,P18615,0.65
O14965,O75365,0.65
Q9HD36,Q92934,0.65
P23771,P14921,0.65
Q9NQC7,Q96LD4,0.65
P29590,P84243,0.65
Q02363,P15173,0.65
P42574,Q9Y243,0.65
Q9BV68,P00533,0.65
P26368,Q9NWB6,0.65
Q658P3,P13693,0.65
Q07157,Q9Y297,0.65
Q05397,Q15843,0.65
P17947,P10276,0.65
Q9BRX5,Q14566,0.65
P42574,Q9Y2W7,0.65
Q07157,Q86YT6,0.65
P35680,P18846,0.65
Q13563,O00165,0.65
O14965,Q15555,0.65
O95835,P49593,0.65
Q14258,Q9Y4E8,0.65
P08670,Q17RY0,0.65
Q9NQC7,P23258,0.65
Q14995,Q9HCD5,0.65
P07355,O75608,0.65
P23771,P15036,0.65
P54132,Q13426,0.65
Q02363,P28749,0.65
O00299,Q6EEV6,0.65
Q05397,P07949,0.65
P55197,Q99666,0.65
Q9NQC7,P31749,0.65
Q13162,Q6EEV6,0.65
Q92608,O14672,0.65
Q7KZI7,Q9H4P4,0.65
P17947,P68400,0.65
P00519,Q9NRM7,0.65
P40818,Q8NEM0,0.65
P29590,P19838,0.65
P29590,O96017,0.65
Q02363,Q9Y463,0.65
Q5U651,P10301,0.65
Q6R327,P53350,0.65
P48443,Q14686,0.65
Q00653,Q12929,0.65
Q02363,Q9Y574,0.65
Q8N884,Q96GF1,0.65
Q02363,Q14469,0.65
Q92499,Q5UIP0,0.65
P42574,Q13813,0.65
P42166,Q5XPI4,0.65
Q05193,O75925,0.65
Q9UIF9,Q9H7Z6,0.65
Q9H3M7,O95071,0.65
P17947,P45983,0.65
P54578,Q00987,0.65
P00519,Q93009,0.65
P41227,P34932,0.65
Q14118,Q13474,0.65
P62330,O14617,0.65
O95835,Q9Y2U5,0.65
O95155,Q99689,0.65
P55211,Q13418,0.65
Q5U651,P62834,0.65
P83916,Q13620,0.65
P55211,Q13075,0.65
O95835,P12931,0.65
O15344,Q9NRP7,0.65
P04004,P02679,0.65
Q05193,Q9P0V3,0.65
P29590,Q05086,0.65
P54132,Q9BQ15,0.65
P29590,P46100,0.65
O95155,Q02246,0.65
P40818,Q9HCE0,0.65
P42574,P06400,0.65
P42574,P40692,0.65
Q02363,Q13627,0.65
P62330,P35125,0.65
O43521,Q86XN8,0.65
P42574,P61289,0.65
P04004,P05106,0.65
P15374,Q08050,0.65
P07355,Q99972,0.65
Q12888,Q9Y2K7,0.65
P46379,Q93009,0.65
Q9UBU7,Q9UBD5,0.65
P06756,P27361,0.65
Q92574,P12004,0.65
Q9Y5C1,P06756,0.65
P15374,P13010,0.65
Q13526,P67870,0.65
Q6R327,P49840,0.65
P46379,P54652,0.65
Q8N3V7,P12004,0.65
P49327,P40337,0.65
P54368,O95190,0.65
P29590,Q16539,0.65
P54132,P55854,0.65
Q9NQC7,Q86WV6,0.65
P40818,P42566,0.65
P42574,Q9UJU6,0.65
Q05397,P04406,0.65
Q9BV68,Q9UNQ0,0.65
Q14118,Q9Y490,0.65
Q9H3M7,O95171,0.65
P29590,P54198,0.65
Q05397,P17948,0.65
Q05397,Q12933,0.65
Q9NQC7,O00444,0.65
P62330,Q9ULP9,0.65
Q13526,Q8IWR1,0.65
O95835,O14974,0.65
O95835,Q99759,0.65
O95071,O75469,0.65
P42574,P49768,0.65
Q96EP1,Q96GM5,0.65
Q7KZI7,Q15831,0.65
P29590,Q14790,0.65
P54132,O00213,0.65
Q9NQC7,Q15154,0.65
O14965,O95983,0.65
O14965,O75496,0.65
O14965,O15360,0.65
Q05397,P09874,0.65
P08670,P98170,0.65
P40692,O43929,0.65
P51787,O75604,0.65
P29590,O15162,0.65
Q14565,P27694,0.65
P08670,Q8TF68,0.65
P08581,Q14160,0.65
Q9BYF1,P37173,0.65
Q9NQC7,F7VJQ1,0.65
P29590,Q15554,0.65
P42574,P49662,0.65
Q96EP1,P51532,0.65
Q7KZI7,Q9NPB6,0.65
P08581,Q96BD6,0.65
P04004,P17612,0.65
O60934,P63167,0.65
Q9UBU7,O00255,0.65
Q14258,Q9Y572,0.65
P29590,P42771,0.65
Q13526,P37840,0.65
P29590,P21359,0.65
P29590,Q9GZQ8,0.65
Q07157,Q9Y5S2,0.65
P07355,P03950,0.65
P51787,P46934,0.65
Q9BV68,P13010,0.65
Q9BYF1,P05067,0.65
P29590,Q6ZW49,0.65
Q15059,P41182,0.65
O95071,O75449,0.65
Q96EP1,Q12824,0.65
P54132,P63167,0.65
O95278,Q8NEB9,0.65
Q7KZI7,Q8WUI4,0.65
P08581,Q9NZ52,0.65
P04004,P04004,0.65
P54132,Q13535,0.65
Q9H3M7,P52292,0.65
P29590,Q99961,0.65
O95835,P29373,0.65
O14965,Q00987,0.65
P42574,P23588,0.65
Q05397,O95886,0.65
P11274,O60674,0.65
P29590,O43463,0.65
P17947,P49841,0.65
P42574,Q07812,0.65
O95278,Q14457,0.65
P58004,Q06830,0.65
P08581,Q86VI4,0.65
P07355,P08253,0.65
Q05193,Q99963,0.64
P18615,Q5JR59,0.63
O14965,Q8IZE3,0.63
Q16831,P51587,0.63
Q92499,P20290,0.63
P62330,Q4KMQ2,0.63
P35269,Q9NZ42,0.63
Q14258,Q5D0E6,0.63
Q9Y4F1,P07948,0.63
O14965,Q93009,0.63
P11166,Q9H300,0.63
Q8NBZ7,P63218,0.63
Q92499,Q96PM5,0.63
P62330,O75147,0.63
P05452,P49841,0.63
Q13526,Q9UET6,0.63
Q14258,Q96H55,0.63
Q9Y4F1,P78310,0.63
P46379,Q9Y6X1,0.63
P11166,O75787,0.63
Q92499,Q96DT7,0.63
P62330,Q9Y2I1,0.63
P07355,O95817,0.63
P46379,F7VJQ1,0.63
P35680,P12956,0.63
P08670,Q99757,0.63
P62330,Q9BXI6,0.63
Q12888,Q14142,0.63
Q14258,Q3B7J2,0.63
P49327,O00506,0.63
P62330,Q96N67,0.63
Q13526,O76011,0.63
Q14258,Q9ULJ6,0.63
P07355,Q15029,0.63
P62330,Q9H6X2,0.63
Q13526,Q12849,0.63
Q14258,Q9P2M7,0.63
P07355,Q9Y5P2,0.63
P49327,O00743,0.63
Q14995,Q9BYQ3,0.63
Q9NQC7,Q9NVS2,0.63
P35680,Q01826,0.63
P08670,Q9BWG6,0.63
Q9UPY3,Q9H611,0.63
P62330,P48029,0.63
Q9BQ50,Q99943,0.63
Q14258,Q86VZ5,0.63
P07355,P01040,0.63
P49327,O00483,0.63
P35680,Q9Y618,0.63
P08670,Q92551,0.63
Q92608,Q9BYR8,0.63
Q13563,P21453,0.63
P07355,Q8WVJ2,0.63
P49327,Q5S007,0.63
Q96RD7,P49757,0.63
Q9NQC7,P15924,0.63
Q14181,Q9GZR7,0.63
P62330,Q86Y07,0.63
O15344,A1L4K1,0.63
Q14258,Q6P5X5,0.63
P07355,P19474,0.63
P49327,P09105,0.63
Q96RD7,Q92575,0.63
Q02363,Q5T3J3,0.63
P08670,Q9BRK4,0.63
P62330,O15126,0.63
Q14258,Q14999,0.63
P13797,Q9UQ80,0.63
Q14258,Q9BRT2,0.63
P49327,P41002,0.63
Q96RD7,Q9NP61,0.63
Q9NQC7,Q9BVA1,0.63
P46379,P68366,0.63
P08670,P33981,0.63
Q14181,Q69YN4,0.63
P13797,Q9BXM7,0.63
Q96RD7,Q6NUQ1,0.63
Q9NQC7,Q9NSB2,0.63
P46379,Q9Y3D6,0.63
P13797,Q86V88,0.63
Q14258,Q7Z7C8,0.63
P62330,P84095,0.63
Q96RD7,P51798,0.63
Q9NQC7,P42357,0.63
Q9UIF9,P01040,0.63
Q14258,P10275,0.63
Q14258,P48729,0.63
P15848,Q92820,0.63
Q96AE4,P35226,0.63
Q96RD7,P27448,0.63
Q13838,O95433,0.63
P06756,P45880,0.63
P04004,Q8TF76,0.63
Q05193,Q9H4M7,0.63
P29590,Q12778,0.63
Q14258,O60610,0.63
Q9HD36,Q96LC9,0.63
Q96AE4,P15976,0.63
Q96RD7,P62424,0.63
Q9NQC7,P62318,0.63
Q6P1M3,Q9Y266,0.63
Q9BRZ2,P18075,0.63
Q14258,O96005,0.63
P23771,P59990,0.63
Q9NQC7,P23396,0.63
Q13838,P62805,0.63
O00308,P78371,0.63
O75962,O75934,0.63
Q14258,Q08050,0.63
Q9UIF9,P23588,0.63
Q9NQC7,P18621,0.63
Q13838,P13164,0.63
P29590,Q9H4M7,0.63
Q14258,P43268,0.63
Q8IWJ2,P68366,0.63
Q8N807,P19823,0.63
Q9NQC7,Q13464,0.63
O00308,Q96J02,0.63
Q14258,Q8NHP8,0.63
Q8IWJ2,Q9NQE9,0.63
Q13526,P18031,0.63
Q9NQC7,P54136,0.63
Q8N884,Q15717,0.63
P42166,Q92614,0.63
P54132,O76074,0.63
Q92574,Q9NP31,0.63
Q13162,P00747,0.63
Q14258,P32004,0.63
P11274,Q16665,0.63
Q8TEQ6,Q99728,0.63
Q9NQC7,O75190,0.63
P42166,P17812,0.63
O00308,Q86V81,0.63
Q15059,Q9Y230,0.63
Q92574,P31273,0.63
Q13162,Q16526,0.63
Q14258,P31269,0.63
P11274,Q13501,0.63
Q8TEQ6,Q92731,0.63
O00308,Q9BVP2,0.63
Q9NQC7,Q99832,0.63
P42166,P62906,0.63
Q15059,Q53EQ6,0.63
Q13162,Q9H444,0.63
P11274,P26045,0.63
Q8TEQ6,P04637,0.63
Q13526,Q6UXH1,0.63
Q9NQC7,Q14152,0.63
P41227,Q9BSU3,0.63
P42166,P17987,0.63
Q15059,Q96CN4,0.63
Q13162,Q13489,0.63
Q14258,P03901,0.63
Q8TEQ6,Q86UY6,0.63
Q13526,Q9NY61,0.63
O00308,O60563,0.63
Q9NQC7,Q9H2W6,0.63
Q9BXJ9,Q15468,0.63
P42166,P62841,0.63
Q15059,Q9H6F5,0.63
Q13162,Q9H4M7,0.63
Q14258,P33993,0.63
P16278,Q6UX01,0.63
P11166,Q9H6Z9,0.63
Q13526,P60369,0.63
O00308,Q9UI30,0.63
Q9NQC7,Q9C0C2,0.63
